time,atemp,dtemp,windspd,solrad,cloud
3.792,0.1,-11.3,4,0,1
3.833,-0.2,-10.7,3.5,0,1
3.875,-0.7,-10.3,4.9,0,0.3
3.917,-1,-9.8,3.1,0,0.6
3.958,-1.2,-9.5,4.1,0,0.9
4,-1.5,-9.6,2.8,0,0.6
4.042,-1.8,-9.4,3.6,0,0.6
4.083,-2.1,-9.4,3.4,0,0.6
4.125,-2.4,-9.3,3.4,0,0
4.167,-2.6,-9.5,3.2,0,0
4.208,-3,-9.4,1.2,0,0
4.25,-3.7,-9.5,0.8,0,0
4.292,-4.6,-9.2,1,0,0
4.333,-5.7,-9.2,1.5,0.03,0
4.375,-3.9,-8.9,0.8,0.4,0
4.417,-1.9,-8.4,1,0.93,0
4.458,0.5,-10.6,1.6,1.39,0
4.5,2.3,-12.7,1.3,1.71,0
4.542,3.6,-11.2,2.9,1.83,0
4.583,4.4,-11.2,3.6,1.72,0
4.625,5,-9.9,1.7,1.37,0.4
4.667,5.5,-8.7,1.1,0.92,0
4.708,4.3,-9.1,0.1,0.37,0
4.75,2.9,-9,0.1,0.01,0
4.792,1.1,-9.5,0.1,0,0
4.833,0.1,-8.6,0,0,0
4.875,-1.2,-8.4,0.3,0,0.8
4.917,-1.7,-8,0.5,0,0.5
4.958,-1.4,-8.6,0.5,0,0.7
5,-1.1,-8.1,1.1,0,0.8
5.042,-1.4,-7.9,0.5,0,1
5.083,-1.7,-7.8,0.7,0,0.9
5.125,-1.8,-7.1,0.9,0,0.9
5.167,-1.1,-7,0.7,0,0.9
5.208,-1.1,-6.8,0.6,0,0.8
5.25,-1.7,-6.8,1.1,0,0.2
5.292,-1.8,-6.9,1,0,0.6
5.333,0.3,-5.9,2,0,0.9
5.375,1.7,-4.6,3.2,0.32,0.5
5.417,2,-7.3,4.9,0.82,0.6
5.458,2,-7,5.4,1.07,0.8
5.5,2.1,-7.7,4.1,1.29,0.4
5.542,2.4,-9.5,6.1,1.71,0.7
5.583,0.9,-11.8,6.8,0.92,0.8
5.625,0.9,-13.2,5.9,0.87,0.8
5.667,0.8,-17.5,6.3,0.56,0.9
5.708,-0.1,-16,5.2,0.32,0.7
5.75,-1.2,-18.7,4.7,0.02,0.7
5.792,-1.8,-17.9,3.9,0,1
5.833,-2.5,-17.7,3.9,0,0.8
5.875,-3.5,-16.4,3.1,0,0
5.917,-4.2,-16.4,2.7,0,0.7
5.958,-4.5,-15.7,3,0,0
6,-5.1,-16,3.1,0,0
6.042,-5.5,-16.7,3,0,0
6.083,-6.3,-16.8,1.8,0,0
6.125,-6.5,-15.4,2.2,0,0
6.167,-7.1,-14.8,1.4,0,0
6.208,-6.9,-14.4,3.1,0,0
6.25,-7.3,-14.3,2.4,0,0
6.292,-7.4,-14,2.4,0,0
6.333,-6.7,-13.3,2.5,0.03,0
6.375,-5.8,-13.4,4.4,0.46,0
6.417,-4.7,-13,4,1.07,0.1
6.458,-3.7,-14.2,5.1,1.57,0.1
6.5,-2.5,-13.9,4.8,1.85,0.5
6.542,-1.6,-14,3.8,1.95,0.2
6.583,-0.8,-13.3,5.2,1.91,0.1
6.625,-0.4,-13.3,4.1,1.59,0.1
6.667,-0.2,-13.8,3.1,1.06,0.1
6.708,-0.5,-13.4,3,0.44,0
6.75,-1.4,-13.5,2.4,0.03,0
6.792,-2.1,-13.6,1.2,0,0
6.833,-3.2,-12.9,1,0,0.8
6.875,-3.8,-12.7,0.5,0,0.7
6.917,-4.3,-12.4,1.5,0,0.9
6.958,-4.7,-11.9,0.9,0,1
7,-4.1,-12.2,0.6,0,0.6
7.042,-1.4,-9.2,3.8,0,0.9
7.083,-2.9,-5.8,4.5,0,1
7.125,-2.6,-8.4,5.6,0,0.7
7.167,-6.1,-11.8,6.7,0,0.9
7.208,-6.9,-14.2,7.4,0,0.8
7.25,-8.8,-14.5,5.1,0,0.7
7.292,-9.7,-16,7,0,0.4
7.333,-9.9,-18.6,6.7,0.03,0
7.375,-9.6,-20.7,8.1,0.49,0
7.417,-9,-21.3,8.7,1.11,0
7.458,-8.8,-21.8,6.9,1.64,0
7.5,-7.4,-22.4,5.6,2,0
7.542,-7.2,-23.4,6,2.24,0
7.583,-8,-22.2,5.4,2.06,0
7.625,-7.5,-22.1,5.3,1.57,0
7.667,-8.1,-22.6,4,1.13,0
7.708,-9,-22.7,3.9,0.49,0
7.75,-9.9,-23.8,4.7,0.03,0
7.792,-10.5,-24.4,4.3,0,0
7.833,-10.9,-23.4,4.4,0,0
7.875,-11.3,-25.1,5,0,0
7.917,-11.7,-25.1,3.3,0,0
7.958,-11.9,-24.9,2.8,0,0
8,-12.2,-24.8,3.3,0,0
8.042,-12.4,-24.4,2.9,0,0
8.083,-12.3,-23.7,3.4,0,0
8.125,-12.6,-23.1,4.5,0,0
8.167,-12.7,-22.7,4.6,0,0
8.208,-13,-22.2,5.1,0,0
8.25,-13.4,-22.1,4.7,0,0
8.292,-13.5,-22.1,4.9,0,0
8.333,-13.2,-22.1,3.6,0.03,0
8.375,-12.4,-22.4,4.4,0.47,0
8.417,-11.7,-22.9,4.8,1.1,0
8.458,-10.5,-22.7,5.6,1.63,0
8.5,-9.5,-22.1,5.5,1.97,0
8.542,-7.5,-20.7,4.8,2.1,0
8.583,-6.9,-19.8,4.7,1.97,0
8.625,-6.3,-19.2,5.1,1.64,0
8.667,-6.4,-19,4.8,1.12,0
8.708,-7.2,-19.4,5.3,0.46,0
8.75,-8.3,-19.8,5.5,0.03,0
8.792,-8.9,-20.3,3.4,0,0
8.833,-9.3,-20.4,6.9,0,0
8.875,-9.6,-20.4,5.3,0,0
8.917,-10,-19.9,4.7,0,0
8.958,-10.3,-19.9,4.6,0,0
9,-10.9,-19.7,3.4,0,0
9.042,-11,-19.1,3.9,0,0
9.083,-11,-18.7,4.1,0,0
9.125,-11.2,-18.6,3.3,0,0
9.167,-11.1,-18.8,3.3,0,0
9.208,-11.1,-18.8,3.7,0,0
9.25,-11.1,-19.2,4.3,0,0
9.292,-11.2,-19.5,4,0,0
9.333,-11.2,-20.3,4.5,0.03,0
9.375,-10.1,-20.3,4.2,0.47,0
9.417,-9,-21.7,4.1,1.09,0
9.458,-7.8,-21.6,4.7,1.6,0
9.5,-6.2,-20.6,3.1,1.93,0
9.542,-4.4,-19,3.4,2.05,0
9.583,-3.6,-17.5,5.1,1.97,0.1
9.625,-3.6,-16.5,4.8,1.56,0.4
9.667,-4.5,-15.7,5.7,1,0.1
9.708,-5.9,-16.2,5.3,0.48,0.2
9.75,-6.5,-16.7,5.7,0.03,0
9.792,-7,-16.9,5.7,0,0
9.833,-7.3,-17.2,3.9,0,0
9.875,-7.5,-17.1,4.3,0,0
9.917,-7.8,-16.4,4.2,0,0
9.958,-8.1,-16,4.7,0,0
10,-8.2,-15.4,3.3,0,0
10.042,-8.2,-15,4.2,0,0
10.083,-8.4,-14.5,3.2,0,0
10.125,-8.6,-14.5,2.6,0,0
10.167,-8.4,-14.7,3.2,0,0
10.208,-8.6,-14.7,2.4,0,0
10.25,-8.5,-15.3,2.5,0,0
10.292,-10.2,-14.8,0.7,0,0
10.333,-10.3,-14.7,0.5,0.03,0
10.375,-7.1,-14.4,2,0.45,0
10.417,-6,-15,3,1.06,0
10.458,-3.5,-14.3,2.4,1.58,0
10.5,-2.2,-14,3,1.91,0
10.542,-1.3,-14.4,4.1,2.04,0
10.583,0.1,-13.9,3.6,1.94,0.4
10.625,0.8,-13.6,3.6,1.61,0.2
10.667,0.3,-13,3.5,1.09,0
10.708,-0.3,-12.9,2,0.47,0.1
10.75,-1.3,-12.8,2.2,0.03,0.2
10.792,-1.7,-12.6,1.6,0,0.1
10.833,-2.7,-12.4,0.7,0,0
10.875,-4.1,-12,0.3,0,0
10.917,-5.3,-12,1.5,0,0
10.958,-6.2,-11.9,0.6,0,0
11,-6.6,-11.7,0.1,0,0
11.042,-7.5,-12.2,0.8,0,0.8
11.083,-7.8,-11.8,0.3,0,1
11.125,-8.4,-12.7,0.5,0,0.9
11.167,-7.8,-11.9,1,0,0.9
11.208,-7.8,-11.8,0.6,0,0.9
11.25,-8,-11.8,0.4,0,0.9
11.292,-7.5,-11.3,0.3,0,0.9
11.333,-7.7,-11.5,0.2,0.02,0.9
11.375,-6.4,-10.6,1.2,0.38,0.3
11.417,-4.4,-10.3,0.5,0.86,0.9
11.458,-3.6,-10.9,1.1,0.84,1
11.5,-2.9,-9.8,1.7,0.73,1
11.542,-2.6,-9.9,0.9,0.65,1
11.583,-1.5,-10,2.2,0.6,1
11.625,-1.2,-9.8,0.8,0.53,1
11.667,-1.1,-9.4,1.5,0.35,1
11.708,-1.1,-9.4,2.4,0.19,1
11.75,-1.4,-9.5,1.8,0.01,1
11.792,-1.5,-9.6,1.2,0,0.9
11.833,-1.5,-9.6,1.8,0,1
11.875,-1.9,-9.5,1.7,0,0.8
11.917,-2,-9.3,3.2,0,0.4
11.958,-2.9,-9.5,1.4,0,0.8
12,-3.7,-9.5,1.2,0,0.4
12.042,-4.7,-9.7,1.6,0,0
12.083,-5.8,-9.5,0.3,0,0
12.125,-5.9,-10.1,0.9,0,0
12.167,-7,-10.3,0.2,0,0
12.208,-7.5,-10.8,0,0,0.5
12.25,-8,-10.8,0.1,0,0
12.292,-7.8,-10.4,0.1,0,0
12.333,-8,-10.6,0.4,0.04,0
12.375,-5.8,-9.8,0.4,0.51,0
12.417,-3.5,-8.7,0.8,1.12,0
12.458,-0.7,-8.6,1,1.52,0.1
12.5,1.1,-7.6,2.6,1.83,0.1
12.542,2.3,-7.6,3.6,2,0.2
12.583,3,-8.3,2.9,1.85,0.4
12.625,3.5,-8.2,1.7,1.58,0.1
12.667,3.6,-8.4,2.1,1.03,0.1
12.708,3.3,-9.3,1.8,0.43,0.2
12.75,1.8,-9.1,1.1,0.03,0.2
12.792,0.1,-8.6,0.5,0,0.5
12.833,1,-7.5,0.9,0,0.8
12.875,2.1,-6.5,3,0,0.2
12.917,0.3,-7,1.5,0,0.4
12.958,0.3,-6.3,1.2,0,0.8
13,-0.6,-6.5,0.2,0,0.5
13.042,-2,-6.9,0.3,0,0.3
13.083,-2.6,-6.7,0.9,0,0
13.125,-2.9,-6.8,0.6,0,0
13.167,-3.4,-6.6,0.1,0,0.1
13.208,-3.8,-6.7,0.1,0,0
13.25,-4,-6.7,0.1,0,0.1
13.292,-4.2,-6.6,0.1,0,0
13.333,-4.7,-6.9,0.2,0.03,0.1
13.375,-3.2,-6.1,0.6,0.38,0
13.417,-0.5,-5.4,0.4,0.91,0
13.458,2.6,-5,0.5,1.34,0
13.5,5.2,-4.6,0.6,1.68,0
13.542,7.9,-3,1.1,1.82,0
13.583,10.3,-3,2,1.71,0
13.625,11.1,-3.4,4.1,1.41,0
13.667,11.6,-3.3,2.4,0.97,0
13.708,10.7,-4.5,2.8,0.42,0
13.75,9.8,-4.5,2.6,0.04,0
13.792,9.7,-3.6,3.1,0,0
13.833,8.7,-3.8,3,0,0
13.875,8.5,-3,3.7,0,0
13.917,6.5,-3.7,1.9,0,0
13.958,4.7,-3.5,0.7,0,0
14,4.6,-3.4,1.6,0,0
14.042,2.6,-3.7,1.2,0,0
14.083,2.6,-2.9,1.2,0,0
14.125,0.3,-3,1.5,0,0
14.167,0.8,-3.1,0.4,0,0
14.208,0.1,-3.2,1,0,0
14.25,-1,-3.5,1.1,0,0
14.292,-1,-3.3,0.3,0,0
14.333,-1.6,-3.3,1,0.03,0
14.375,0.5,-2.8,0.2,0.42,0
14.417,2.9,-2.4,0.8,0.97,0
14.458,6.7,-1.7,0.5,1.51,0
14.5,8.8,-9.2,1.4,1.83,0
14.542,10.1,-9,1.1,2,0
14.583,10.9,-9.4,1.1,1.9,0
14.625,12.1,-10.2,0.7,1.58,0
14.667,12.4,-9.3,0.7,1.06,0
14.708,11.3,-9.1,0.2,0.46,0
14.75,8.4,-10.5,0.9,0.04,0
14.792,6.8,-10,0.7,0,0
14.833,5.4,-7.1,2.6,0,0
14.875,5,-6.5,3,0,0
14.917,3.8,-5.6,3,0,0
14.958,2.5,-6.1,2.5,0,0
15,1.3,-6.7,2.1,0,0.5
15.042,1.6,-6,1.1,0,0.7
15.083,1.5,-5.8,0.8,0,1
15.125,0.8,-5.8,0.4,0,0.6
15.167,1.3,-5.4,1.4,0,0.7
15.208,1,-4.8,1.2,0,0.8
15.25,1.2,-4.8,0.9,0,0.9
15.292,0.6,-5.2,1,0,0.6
15.333,1.1,-4.5,0.7,0.04,0.5
15.375,2.9,-3.8,0.9,0.41,0.6
15.417,5.2,-3.3,0.4,0.89,0.3
15.458,8,-2.6,0.8,1.39,0.4
15.5,10,-1.4,1.3,1.37,0.3
15.542,13.7,3.1,2.6,1.58,0.7
15.583,15.5,3.2,4,1.25,0.8
15.625,16.1,4.1,3.4,0.94,0.8
15.667,15.8,4.7,2.8,0.56,0.8
15.708,15.3,2.7,3.9,0.25,0.8
15.75,14,3.1,0.5,0.04,0.8
15.792,14.2,5.2,2.8,0,0.7
15.833,13.5,5.6,3,0,1
15.875,13.1,5.4,3,0,0.8
15.917,12.1,3.8,3.1,0,1
15.958,10.7,3.7,4.5,0,0.9
16,8.4,1.3,2.4,0,0.8
16.042,7.1,-0.6,2.7,0,1
16.083,6.7,-2.7,4.8,0,0.9
16.125,5.4,-5.3,2.9,0,0.9
16.167,4.3,-5.7,2.9,0,0.1
16.208,2.9,-4.5,3.2,0,0
16.25,1.8,-4,3.7,0,0
16.292,1.5,-4.3,3,0,0
16.333,1.3,-4.7,3.5,0.03,0
16.375,1.3,-4.9,3.3,0.36,0
16.417,2.1,-6,3.7,0.91,0
16.458,2.8,-7.1,5.5,1.47,0
16.5,3.6,-8.1,4.4,1.84,0
16.542,3.6,-9.4,4.9,1.97,0
16.583,4.3,-10.5,5.4,1.93,0
16.625,4.3,-10.9,5.1,1.56,0
16.667,3.6,-11.9,5.2,1.07,0
16.708,2.6,-11,5,0.46,0.2
16.75,1.4,-11,3.7,0.04,0.3
16.792,0.2,-11.5,3.4,0,0.5
16.833,-0.8,-12.1,2.8,0,0.4
16.875,-1.5,-12.1,2.9,0,0.6
16.917,-2.2,-12.8,3.4,0,0.9
16.958,-2.7,-12.2,3.4,0,1
17,-3.1,-11.8,3.5,0,0.9
17.042,-3.4,-11.8,3.8,0,1
17.083,-3.7,-12.1,2.9,0,1
17.125,-3.6,-11.8,4.7,0,0.9
17.167,-3.8,-12,4.3,0,0.9
17.208,-3.9,-12.8,4.7,0,0.9
17.25,-4.5,-13.8,5.7,0,0.8
17.292,-5.2,-14.5,4.6,0,0.6
17.333,-5.5,-14,4.2,0.01,0.2
17.375,-4.9,-13.7,4.1,0.42,0.1
17.417,-4,-15.3,4.8,1.16,0
17.458,-2.9,-16.6,4.3,1.69,0
17.5,-1.8,-17.5,4.1,2.04,0
17.542,-0.3,-16.2,4.5,2.17,0
17.583,0.5,-15.5,4.3,2.09,0
17.625,0.4,-15.6,5.3,1.76,0
17.667,0.6,-15.4,3.8,1.22,0
17.708,-0.1,-14.4,4.5,0.58,0
17.75,-0.8,-14.3,2.1,0.06,0
17.792,-1.4,-14.2,1,0,0
17.833,-2.3,-14.1,0.7,0,0
17.875,-3.1,-12.8,0.5,0,0.9
17.917,-3,-14.1,0.1,0,0.5
17.958,-3.4,-13.3,0.3,0,1
18,-3.9,-13,0.4,0,0.5
18.042,-4.8,-13.4,0.4,0,0.4
18.083,-5.4,-12.8,0.2,0,0
18.125,-5.9,-12,0.4,0,0.2
18.167,-5.7,-11.8,0.2,0,0.7
18.208,-6.2,-11.5,0.2,0,0.4
18.25,-6.1,-11.2,0.9,0,0.7
18.292,-6.1,-10.3,0.3,0,0.4
18.333,-5.5,-10.2,0.5,0.02,0.4
18.375,-4.6,-9.6,1.4,0.35,0.5
18.417,-2.7,-8.9,0.9,0.57,1
18.458,-1.7,-7,0.8,0.59,0.9
18.5,-1.4,-4.9,1.9,0.86,0.9
18.542,-0.4,-2.6,0.9,1.12,0.8
18.583,2.1,-1.8,2.4,1.72,0.5
18.625,3.6,-2.1,1.5,1.08,0.4
18.667,4.4,-4.8,5.5,0.82,0.9
18.708,3,-4.4,4.1,0.24,0.8
18.75,3.5,-6.5,4.9,0.04,0.8
18.792,1.4,-4.8,6.3,0,0.9
18.833,0.2,-8.5,5.8,0,0.6
18.875,-0.6,-10.8,5.6,0,0
18.917,-1.4,-11.5,6.5,0,0
18.958,-2.6,-12.3,2.8,0,0
19,-3.5,-13.4,3.1,0,0
19.042,-4,-13.6,2.6,0,0
19.083,-4.7,-13.3,1.9,0,0
19.125,-5.1,-12.7,2.6,0,0
19.167,-5.4,-12.5,2.1,0,0
19.208,-5.7,-12.6,1.6,0,0
19.25,-6.1,-12.6,1.8,0,0
19.292,-6.5,-12.5,1,0,0
19.333,-6.3,-12.2,1.3,0.03,0
19.375,-5.4,-12.8,2.8,0.49,0
19.417,-4.1,-13,3.5,1.13,0
19.458,-2.1,-14.8,3.2,1.65,0
19.5,-0.3,-14.6,1.9,2.02,0
19.542,0.3,-14.8,1.7,2.15,0
19.583,1,-15.9,1.8,2.06,0
19.625,2.6,-15,1.1,1.73,0
19.667,2.5,-16,0.8,1.22,0
19.708,2.6,-16.5,1.2,0.58,0
19.75,1,-16.4,1.9,0.06,0
19.792,0.2,-14.5,1.1,0,0
19.833,-1.6,-15.4,0.2,0,0
19.875,-2.7,-14.4,0.7,0,0
19.917,-3.4,-13.9,0.9,0,0
19.958,-4,-14.2,0.3,0,0
20,-4.8,-14.1,0.4,0,0
20.042,-5.6,-13.9,0.8,0,0
20.083,-5.9,-14.1,1,0,0
20.125,-6.9,-13.5,1.2,0,0
20.167,-6.8,-13.4,0.9,0,0
20.208,-7.5,-13.5,0.6,0,0
20.25,-8.1,-13.9,1.5,0,0
20.292,-8.4,-13.8,0.7,0,0
20.333,-8,-13.4,0.6,0.03,0
20.375,-6.2,-12.7,1,0.45,0
20.417,-3.1,-12,1,1.03,0
20.458,-0.1,-11.5,0.9,1.54,0
20.5,2,-11.5,1.4,1.91,0
20.542,4.4,-11.7,1.6,2.04,0
20.583,6.2,-9.7,1.5,1.96,0
20.625,7.4,-7,1.4,1.64,0
20.667,8.1,-5,1.9,1.14,0
20.708,7.7,-4.1,0.8,0.46,0.2
20.75,6.4,-4.1,0.3,0.06,0.2
20.792,3.6,-5.1,0.1,0,0
20.833,1.9,-5.7,0.8,0,0.4
20.875,0.7,-5.7,0.2,0,0.3
20.917,0.2,-5.4,0.3,0,0.6
20.958,-1.2,-6.3,0.7,0,0.3
21,-1.5,-7.4,0.5,0,0.2
21.042,-2.3,-7,0.2,0,0.3
21.083,-2.8,-6.4,0.5,0,0.2
21.125,-2.8,-6.2,0.2,0,0.2
21.167,-3.2,-6.6,0.3,0,0.1
21.208,-2.9,-6.2,0.8,0,0.3
21.25,-3.2,-6.1,0.4,0,0.3
21.292,-3.2,-5.8,0.1,0,0.2
21.333,-2.7,-5.3,0.5,0.05,0
21.375,-0.8,-4.8,0.5,0.46,0
21.417,2.3,-3.8,0.6,1.01,0
21.458,4.7,-3.5,0.5,1.52,0.2
21.5,7.2,-1.5,0.9,1.73,0.4
21.542,9.7,-0.5,1.5,1.94,0.6
21.583,10.5,1,1.8,0.94,0.8
21.625,11,1.2,1.7,1.05,0.9
21.667,10.9,2.1,1.4,0.59,1
21.708,10.9,2.4,0.9,0.31,1
21.75,10.5,2,0.9,0,1
21.792,10.1,2.6,0.4,0,0.8
21.833,9.5,4.8,0.5,0,1
21.875,8.4,5.4,0.3,0,1
21.917,6.8,6.7,0,0,1
21.958,6.3,6.2,0.9,0,1
22,6,5.9,0.7,0,1
22.042,6.2,6.1,0.2,0,1
22.083,5.8,5.7,1.2,0,1
22.125,5.8,5.7,0.1,0,1
22.167,5.6,5.5,0.4,0,1
22.208,5.8,5.7,0.3,0,1
22.25,5.5,5.4,0.5,0,1
22.292,5.2,5.1,0.4,0,1
22.333,5.6,5.5,0.5,0,0.9
22.375,5.9,5.8,0.1,0.02,1
22.417,6.1,6,0.4,0.19,1
22.458,6.8,6.7,0.6,0.44,1
22.5,7.6,7.5,0.9,0.64,1
22.542,9.5,8.8,0.8,0.98,0.9
22.583,9.9,8.3,0.5,1.01,0.9
22.625,10.1,8.5,0.6,0.58,1
22.667,10.3,8.3,0.4,0.45,1
22.708,10.1,8.6,0.7,0.29,1
22.75,10.1,8.5,0.1,0.05,1
22.792,10.4,8.3,2.9,0,1
22.833,10.1,7.6,2.8,0,0.9
22.875,10.2,7.9,3.2,0,0.9
22.917,10,7.9,3,0,0.9
22.958,9.7,7.8,2.2,0,0.9
23,10.1,7.8,2.6,0,0.8
23.042,9.8,7.7,2.6,0,0.5
23.083,9.7,7.6,1.7,0,0.9
23.125,9.6,7.8,1.5,0,1
23.167,9.4,7.9,2.6,0,1
23.208,9.3,8,3.2,0,1
23.25,9.1,7.8,2.4,0,0.8
23.292,9.1,8,2.5,0,0.8
23.333,9.2,7.9,3.3,0,0.9
23.375,9.5,7.7,2.4,0.15,0.9
23.417,10.8,8.3,3.3,0.36,0.9
23.458,11.2,8.2,4.2,0.5,0.9
23.5,11.6,8,6.4,0.98,0.9
23.542,11.2,7.6,5.9,0.92,0.9
23.583,10.6,7.1,5.1,0.54,0.9
23.625,10.2,7,4.1,0.33,0.9
23.667,9.8,6.8,4.8,0.37,0.9
23.708,9.2,6.8,3.1,0.1,0.9
23.75,8.8,6.5,3.9,0.02,0.9
23.792,8.4,6.3,4.7,0,0.9
23.833,7.5,6.5,3.5,0,0.9
23.875,7.8,6,3.4,0,0.9
23.917,7.8,5.5,2.9,0,1
23.958,7.7,5.4,1.2,0,1
24,7.7,5.3,0.6,0,0.9
24.042,7.8,4.9,0.6,0,0.9
24.083,7.7,4.4,1.1,0,0.9
24.125,7.7,4.6,1.2,0,0.9
24.167,7.7,4.2,0.3,0,0.9
24.208,7.9,4.1,0.3,0,0.8
24.25,7.4,4.5,1.1,0,0.7
24.292,6.9,4.5,0.8,0,0.7
24.333,6.9,4.7,1,0.02,0.7
24.375,7,5.1,1.1,0.23,0.8
24.417,7.3,5.1,1.1,0.42,0.9
24.458,8,4.5,0.9,0.5,0.9
24.5,8.2,5.1,1.6,0.82,0.9
24.542,9.2,5.3,0.9,0.85,0.9
24.583,9.5,5.2,0.9,0.48,0.9
24.625,9.7,5.2,2,0.58,0.9
24.667,10.2,5.3,4,0.74,0.7
24.708,9.5,4.6,4,0.37,0.7
24.75,9.3,4.3,2.8,0.07,0.7
24.792,9,3.6,3.7,0,0.3
24.833,8.3,2.9,2.3,0,0.7
24.875,7.7,2.7,1.7,0,0.6
24.917,6.7,2.5,1.2,0,0.9
24.958,7.6,2.8,1,0,0.9
25,7.3,3.3,0.6,0,0.9
25.042,6.8,2.8,0.4,0,1
25.083,6.6,2.8,0.8,0,1
25.125,6.6,3,0.2,0,0.8
25.167,5.5,2.6,1,0,0.8
25.208,5.1,3.2,1.1,0,0.7
25.25,4.7,3,0.5,0,0.8
25.292,4.1,2.9,0.1,0,0.6
25.333,3.1,2.5,0.7,0.03,0.7
25.375,4.8,3.2,0.9,0.36,0.4
25.417,7.1,4.2,0.6,0.82,0.8
25.458,9.7,4.8,3.8,1.39,0.8
25.5,10.4,4.7,4.4,1.78,0.7
25.542,11.2,4.6,4.3,1.86,0.8
25.583,11.6,4.3,3.6,1.54,0.7
25.625,11.2,4.4,3,0.76,0.5
25.667,11.5,4.2,4.2,1.27,0.4
25.708,10.3,4.2,4.4,0.58,0.2
