time,atemp,dtemp,windspd,solrad,cloud
0,-8.6,-16.2,3.4,0,0
0.042,-8.6,-16.2,4.8,0,0
0.083,-8.5,-16.1,4.4,0,0
0.125,-8.9,-17.2,4.5,0,0
0.167,-9.5,-18.4,5.1,0,0
0.208,-9.9,-18.6,4.5,0,0
0.25,-10,-19.7,3.2,0,0
0.292,-10.1,-19.8,3.6,0,0
0.333,-9.9,-19.3,2.2,0.03,0
0.375,-8.5,-17.8,3,0.48,0
0.417,-6.5,-16.2,5.2,1.07,0
0.458,-5.3,-15.1,6,1.57,0
0.5,-3.4,-13.9,5.5,1.9,0
0.542,-2.5,-13.3,5.5,2.02,0
0.583,-2,-12.9,4.7,1.88,0
0.625,-0.9,-12.5,3.8,1.54,0
0.667,-1.1,-12.4,2.4,0.7,0.6
0.708,-1.1,-11.8,3,0.27,0.2
0.75,-2,-11,2.2,0.01,0.2
0.792,-1.6,-10.4,1.8,0,0.7
0.833,-2.3,-9.4,2.5,0,0.8
0.875,-2.7,-8.9,3,0,0.8
0.917,-3.1,-8.3,2.7,0,0.7
0.958,-3.5,-8.7,4,0,0
1,-4.5,-10.8,2.6,0,0
1.042,-4.5,-10.8,2.6,0,0
1.083,-5,-10.7,1.6,0,0
1.125,-4.8,-10.3,2.9,0,0
1.167,-4.6,-10.1,4.2,0,0
1.208,-4.8,-10.1,3,0,0
1.25,-4.9,-10.2,2.8,0,0
1.292,-5,-10,2.2,0,0
1.333,-5.6,-9.8,0.9,0.03,0
1.375,-4,-9.2,0.8,0.45,0.4
1.417,-3.2,-9.6,1.3,1.03,0.1
1.458,-1.3,-9.1,1.2,1.51,0.2
1.5,-0.4,-9,0.8,1.75,0.7
1.542,1.7,-7.8,1.9,1.74,0.6
1.583,1.7,-8.4,2.2,1.52,0.5
1.625,2.1,-6.5,3.3,0.96,0.8
1.667,1.8,-6,3,0.75,0.7
1.708,1,-5,2.8,0.32,0.4
1.75,0.4,-5,1.6,0.02,0.8
1.792,0.1,-4.5,1.1,0,0.8
1.833,-0.3,-4.2,0.5,0,0.8
1.875,-0.3,-4,1,0,0.8
1.917,-1.1,-4.2,1.4,0,0.8
1.958,-1.8,-4.3,0.5,0,0.2
2,-2.8,-4.9,0.8,0,0.1
2.042,-3.6,-5.3,0.7,0,0.8
2.083,-3.1,-5.1,0.6,0,0.8
2.125,-2.1,-4.2,0.9,0,0.9
2.167,-1.7,-3.7,1.3,0,0.5
2.208,-2.3,-4.6,0.8,0,0.8
2.25,-1.7,-4.3,1.9,0,0.3
2.292,-2.1,-6.1,1.3,0,0.2
2.333,-2.6,-5.7,1.3,0.02,0.3
2.375,-1.4,-6.3,3.2,0.41,0.1
2.417,-0.3,-7.5,2.6,0.94,0.2
2.458,0.2,-10.9,3.9,1.44,0.1
2.5,1.1,-14.1,4.8,1.83,0.3
2.542,1.7,-12.5,5.6,1.98,0.2
2.583,1.5,-12.3,7.7,1.81,0
2.625,1.6,-13.7,5.9,1.54,0
2.667,1,-14.6,6.1,1.02,0
2.708,0.2,-14.5,4.7,0.41,0
2.75,-0.6,-14.9,2.8,0.02,0
2.792,-1,-14.5,4.9,0,0
2.833,-1.4,-14.2,3.6,0,0
2.875,-1.7,-14.5,3.9,0,0
2.917,-2.2,-14.6,3.4,0,0
2.958,-2.7,-14.4,3.4,0,0
3,-2.8,-14.8,4,0,0
3.042,-3.1,-14.2,4.4,0,0
3.083,-3.1,-13.1,3.3,0,0.5
3.125,-3.5,-12.6,2.9,0,0.4
3.167,-3.6,-12.5,2.7,0,0.8
3.208,-3.7,-12.3,2.3,0,0.9
3.25,-3.4,-13.6,4.2,0,0.9
3.292,-3.6,-14.9,4.4,0,0.9
3.333,-4,-16.2,3.6,0.01,0.8
3.375,-3.3,-16.2,3.5,0.37,0
3.417,-2,-15.1,5.1,1.06,0.2
3.458,-0.3,-13.9,5,1.57,0.7
3.5,0,-14.3,6.3,1.8,0.8
3.542,2.1,-12.5,3.4,1.86,0.8
3.583,1.2,-12.6,4.5,1.51,0.8
3.625,1.7,-11.8,5.7,0.91,0.9
3.667,1.2,-12.2,3.6,0.63,0.6
3.708,0.9,-12.5,4.6,0.27,0.7
3.75,0.3,-12,3.6,0.01,0.8
