J_day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173
0,28.7,0.05,0.05,0.05,0.05,0.564595,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.531727,0.05,0.05,0.175347,23.9541,0.05,3.75056,0.05,0.05,0.3,0.05,10.0789,0.68662,3.22814,0.184525,0.27603,0.146131,0.0614644,-9.5,3.60323,0.05,0.0776142,0.05,0.05,0.169861,0.0533678,0.05,0.420417,0.0692962,0.0679079,0.05,16.6869,5.40603,0.05,0.05,0.05,10.1783,8.23748,11.3569,4.65344,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.57,0.05,0.05,8.62307,5.34,0.436921,1.9039,1.98429,3.14624,1.51065,2.65057,0.561983,2.76077,1.79358,0.453419,0.384599,1.67473,3.49269,0.256308,0.823619,1.23093,0.3,1.25,0.183985,0.65041,0.05,0.05,0.828012,0.268627,0.20098,0.757987,0.4,1.61878,1.64827,3.92673,0.638171,3.04933,0.0924042,0.05,0.629586,6.99,0.05,0.71375,0.971513,0.295193,0.05,0.779186,0.05,0.767638,0.37821,0.429653,0.286704,4.21931,0.907426,2.3677,0.4546,0.05,1.03441,0.05,1.10015,1.45252,0.05,1.3925,0.05,25.01,0.0854139,0.103709,0.05,7.46847,20.15,0.05,7.19816,1.76747,6.38767,0.05,0.05,6.4753,4.87775,0.05,2.34,0.05,0.13108,0.0548258,0.319178,0.05,0.05,1.66,0.05,0.20497,0.381929,0.222639,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1,28.7,0.05,0.05,0.05,0.05,0.564595,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.531727,0.05,0.05,0.175347,23.9541,0.05,3.75056,0.05,0.05,0.3,0.05,10.0789,0.68662,3.22814,0.184525,0.27603,0.146131,0.0614644,-9.5,3.60323,0.05,0.0776142,0.05,0.05,0.169861,0.0533678,0.05,0.420417,0.0692962,0.0679079,0.05,16.6869,5.40603,0.05,0.05,0.05,10.1783,8.23748,11.3569,4.65344,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.57,0.05,0.05,8.62307,5.34,0.436921,1.9039,1.98429,3.14624,1.51065,2.65057,0.561983,2.76077,1.79358,0.453419,0.384599,1.67473,3.49269,0.256308,0.823619,1.23093,0.3,1.25,0.183985,0.65041,0.05,0.05,0.828012,0.268627,0.20098,0.757987,0.4,1.61878,1.64827,3.92673,0.638171,3.04933,0.0924042,0.05,0.629586,6.99,0.05,0.71375,0.971513,0.295193,0.05,0.779186,0.05,0.767638,0.37821,0.429653,0.286704,4.21931,0.907426,2.3677,0.4546,0.05,1.03441,0.05,1.10015,1.45252,0.05,1.3925,0.05,25.01,0.0854139,0.103709,0.05,7.46847,20.15,0.05,7.19816,1.76747,6.38767,0.05,0.05,6.4753,4.87775,0.05,2.34,0.05,0.13108,0.0548258,0.319178,0.05,0.05,1.66,0.05,0.20497,0.381929,0.222639,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2,28.6667,0.05,0.05,0.05,0.05,0.581559,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.557753,0.05,0.05,0.180729,17.8596,0.05,2.79633,0.05,0.05,0.3,0.05,17.7491,0.705035,3.17015,0.182006,0.250756,2.97455,1.25113,-9.5,3.58632,0.05,0.0776142,0.05,0.05,0.176597,0.0533678,0.05,0.423791,0.0692962,0.41122,0.05,16.1643,5.23673,0.05,0.05,0.05,9.85952,7.97952,11.0013,4.50772,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.5,0.05,0.05,8.62201,5.34,0.439931,1.90367,1.98405,3.14586,1.51047,2.65025,0.55663,2.76042,1.79336,0.4491,0.380936,1.7567,3.66364,0.256794,0.863932,1.29118,0.3,1.25,0.183985,0.65041,0.05,0.05,0.828012,0.268627,0.20098,0.757987,0.4,1.56358,1.59206,3.79283,0.64294,2.94535,1.88092,0.05,0.622766,6.97667,0.05,0.706018,0.960989,0.296054,0.05,0.770745,0.05,0.759323,0.374113,0.435177,0.283598,4.20982,0.897597,2.45318,0.449675,0.05,1.04271,0.05,1.10898,1.46418,0.05,1.40367,0.05,25.0367,0.517229,0.628014,0.264891,7.23459,20.1333,0.05,5.96245,1.74031,5.2911,0.05,0.05,5.36368,4.04039,0.05,2.37667,0.05,0.13108,0.0548258,0.320698,0.05,0.05,1.78333,0.05,0.202749,0.377792,0.223735,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
3,29.1,0.05,0.05,0.05,0.05,0.590131,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.760879,0.05,0.05,0.185224,11.1664,0.05,1.74836,0.05,0.05,0.3,0.05,20.7112,0.737052,3.06577,0.179772,0.243573,6.17248,2.59621,-9.5,3.56372,0.05,0.0776142,0.05,0.05,0.183453,0.0533678,0.05,0.397061,0.0692962,0.605135,0.05,12.3237,3.99249,0.05,0.05,0.05,7.51691,6.08359,8.38738,3.43669,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.45,0.05,0.05,8.62114,5.34,0.445718,1.90347,1.98385,3.14554,1.51031,2.64998,0.551278,2.76015,1.79318,0.444782,0.377273,2.39647,4.99789,0.264784,1.17856,1.76141,0.3,1.23,0.185258,0.654911,0.05,0.05,0.833742,0.270486,0.202371,0.763232,0.4,1.43374,1.45986,3.47787,0.643796,2.70077,3.90308,0.05,0.60886,6.94333,0.05,0.690253,0.939531,0.292212,0.05,0.753535,0.05,0.742367,0.36576,0.440386,0.277265,4.16963,0.877554,2.67022,0.439634,0.05,0.976943,0.05,1.03903,1.37183,0.05,1.31513,0.05,25.6,0.761133,0.92416,0.385248,5.51566,20.44,0.05,4.29265,1.68306,3.80931,0.05,0.05,3.86157,2.90887,0.05,2.43333,0.05,0.13108,0.0548258,0.31919,0.05,0.05,2.06667,0.05,0.198222,0.369356,0.221879,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
4,29.0667,0.05,0.05,0.05,0.05,0.604892,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.760706,0.05,0.05,0.189622,4.19951,0.05,0.65753,0.05,0.05,0.3,0.05,29.198,0.766578,3.01081,0.178499,0.232546,6.17248,2.59621,-9.5,3.55379,0.05,0.0684094,0.05,0.05,0.194035,0.0522452,0.05,0.361248,0.0628642,0.854131,0.05,10.7087,3.46929,0.05,0.05,0.05,6.53185,5.28637,7.28825,2.98632,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.4267,0.05,0.05,8.48654,5.34,0.452816,1.87376,1.95287,3.09643,1.48674,2.60861,0.545926,2.71706,1.76518,0.440464,0.37361,2.39592,4.99675,0.272311,1.1783,1.76101,0.3,1.22333,0.186956,0.660913,0.05,0.05,0.841382,0.272964,0.204225,0.770226,0.4,1.25541,1.27829,3.0453,0.647253,2.36485,3.90308,0.05,0.593928,6.92,0.05,0.673325,0.916489,0.286656,0.05,0.735055,0.05,0.724161,0.35679,0.44777,0.270466,4.11933,0.856032,2.89819,0.428853,0.05,0.888827,0.05,0.945316,1.24809,0.05,1.19651,0.05,25.6267,1.07432,1.30443,0.540459,4.79286,20.5067,0.05,1.95559,1.64032,1.7354,0.05,0.05,1.7592,1.32518,0.05,2.49667,0.05,0.13108,0.0548258,0.316682,0.05,0.05,2.33667,0.05,0.193361,0.360297,0.219294,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
5,29.0733,0.05,0.05,0.05,0.05,0.604637,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.718571,0.05,0.05,0.19755,2.39576,0.05,0.378241,0.05,0.05,6.71667,0.05,21.7789,0.773086,3.01001,0.179151,0.251377,3.34406,1.40655,-9.5,3.53816,0.05,0.0684094,0.05,0.05,0.197022,0.0522452,0.05,0.319465,0.0628642,0.510819,0.05,11.1101,3.59933,0.05,0.05,0.05,6.77668,5.48451,7.56143,3.09826,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.4267,0.05,0.05,8.34796,5.34,0.471181,1.84316,1.92099,3.04587,1.46246,2.56601,0.545926,2.67269,1.73636,0.440464,0.37361,2.26322,4.71999,0.281721,1.11303,1.66347,0.3,1.21333,0.193322,0.683418,0.05,0.05,0.870033,0.28226,0.21118,0.796454,0.4,1.14257,1.16339,2.77158,0.657832,2.15229,2.11457,0.05,0.57667,6.90667,0.05,0.65376,0.889859,0.284705,0.05,0.713696,0.05,0.703119,0.346422,0.445965,0.262607,4.15802,0.831158,3.0549,0.416391,0.05,0.786024,0.05,0.83598,1.10374,0.05,1.05812,0.05,27.2667,0.642503,0.78012,0.325569,4.9725,20.5467,0.05,0.99716,1.6028,0.884883,0.05,0.05,0.897022,0.675714,0.05,2.54667,0.05,0.13108,0.0548258,0.313306,0.05,0.05,2.46333,0.05,0.187742,0.349828,0.218492,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
6,28.6233,0.05,0.05,0.05,0.05,0.609043,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.494261,0.05,0.05,0.198843,1.19072,0.05,0.192692,0.05,0.05,18.8767,0.05,17.9275,0.767253,3.07319,0.185822,0.249043,0.146131,0.0614644,-9.5,3.60907,0.05,0.0684094,0.05,0.05,0.204784,0.0522452,0.05,0.331144,0.0628642,0.567409,0.05,15.0357,4.87111,0.05,0.05,0.05,9.17114,7.42241,10.2332,4.193,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.4233,0.05,0.05,8.21152,5.34,0.48017,1.81303,1.88959,2.99608,1.43855,2.52407,0.545926,2.629,1.70798,0.440464,0.37361,1.55673,3.24659,0.282631,0.765587,1.1442,0.3,1.22,0.199688,0.705924,0.05,0.05,0.898684,0.291555,0.218134,0.822682,0.4,1.12801,1.14856,2.73625,0.670409,2.12486,0.0924042,0.05,0.574221,6.92,0.05,0.650984,0.88608,0.286979,0.05,0.710665,0.05,0.700133,0.344951,0.448584,0.261491,4.22153,0.827629,2.99319,0.414623,0.05,0.814758,0.05,0.86654,1.14409,0.05,1.0968,0.05,28.3867,0.713681,0.866544,0.361377,6.72948,20.2767,0.05,0.436833,1.60273,0.387647,0.05,0.05,0.392965,0.296015,0.05,2.61667,0.05,0.13108,0.0548258,0.314313,0.05,0.05,2.43,0.05,0.186945,0.348343,0.223657,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
7,28.6367,0.05,0.05,0.05,0.05,0.606404,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.467446,0.05,0.05,0.200721,0.324471,0.05,0.0570613,0.05,0.05,30.3433,0.05,12.4107,0.767423,3.02454,0.186775,0.251408,0.146131,0.0614644,-9.5,3.67804,0.05,0.0776142,0.05,0.05,0.209572,0.0533678,0.05,0.32751,0.0692962,0.56439,0.05,16.3997,5.313,0.05,0.05,0.05,10.0031,8.09573,11.1615,4.57336,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.4333,0.05,0.05,8.21043,5.34,0.483256,1.81279,1.88934,2.99569,1.43836,2.52374,0.545926,2.62865,1.70775,0.440464,0.37361,1.47227,3.07045,0.278657,0.724051,1.08212,0.3,1.21333,0.210299,0.743433,0.05,0.05,0.946436,0.307046,0.229724,0.866395,0.4,1.09285,1.11276,2.65095,0.676127,2.05862,0.0924042,0.05,0.568984,6.97667,0.05,0.645046,0.877998,0.288531,0.05,0.704184,0.05,0.693748,0.341805,0.452951,0.259107,4.25632,0.82008,2.94595,0.410841,0.05,0.805818,0.05,0.857033,1.13153,0.05,1.08477,0.05,30.0133,0.709885,0.861935,0.359467,7.33995,20.2333,0.05,0.400093,1.59809,0.355044,0.05,0.05,0.359914,0.271118,0.05,2.69667,0.05,0.13108,0.0548258,0.317546,0.05,0.05,2.41,0.05,0.18524,0.345165,0.227388,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
8,28.62,0.05,0.05,0.05,0.05,0.601447,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.451249,0.05,0.05,0.193287,0.324471,0.05,0.0570613,0.05,0.05,28.61,0.05,19.738,0.786346,2.99939,0.190131,0.252442,0.146131,0.0614644,-9.5,3.86454,0.05,0.0776142,0.05,0.05,0.216547,0.0533678,0.05,0.325434,0.0692962,0.909966,0.05,19.0321,6.16582,0.05,0.05,0.05,11.6088,9.39522,12.9531,5.30746,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,11.46,0.05,0.05,8.2137,5.34,0.473997,1.81352,1.89009,2.99688,1.43894,2.52474,0.545926,2.6297,1.70843,0.440464,0.37361,1.42126,2.96407,0.274838,0.698963,1.04463,0.3,1.21,0.21624,0.764438,0.05,0.05,0.973176,0.315722,0.236215,0.890875,0.4,1.00286,1.02113,2.43267,0.673831,1.88911,0.0924042,0.05,0.56564,7.07,0.05,0.641256,0.872839,0.283074,0.05,0.700046,0.05,0.689671,0.339796,0.453383,0.257584,4.2064,0.815261,2.94487,0.408427,0.05,0.80071,0.05,0.8516,1.12436,0.05,1.07789,0.05,29.9933,1.14455,1.3897,0.57579,8.51813,20.2533,0.05,0.498791,1.60568,0.442628,0.05,0.05,0.4487,0.338,0.05,2.75667,0.05,0.13108,0.0548258,0.320679,0.05,0.05,2.41667,0.05,0.184151,0.343137,0.224468,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
9,28.6533,0.0979322,0.05,0.215722,0.316248,0.60235,0.168516,0.202027,0.05,0.333847,0.05,0.05,0.277577,0.0622463,0.427526,0.05,0.158967,0.193519,0.324471,0.05,0.0570613,0.05,0.05,24.4467,0.05,25.4348,0.793684,3.01701,0.182913,0.24988,0.146131,0.0614644,-9.5,3.9916,0.05,0.0776142,0.05,0.05,0.219919,0.0533678,0.05,0.30078,0.0692962,1.16575,0.05,19.4033,6.28607,0.05,0.05,0.05,11.8352,9.57846,13.2057,5.41098,0.05,0.0768505,0.05,0.05,0.0835938,0.05,0.05,0.05,0.1006,0.05,0.05,0.05,0.05,0.05,0.05,0.422764,0.05,0.286536,0.204488,0.184192,11.4967,0.387685,0.05,8.21356,5.34,0.477739,1.81348,1.89006,2.99683,1.43891,2.5247,0.545926,2.62966,1.7084,0.440464,0.37361,1.34654,2.80824,0.270772,0.662217,0.989709,0.3,1.22667,0.220272,0.778691,0.05,0.05,0.991322,0.321609,0.24062,0.907486,0.4,0.845001,0.860395,2.04975,0.668461,1.59175,0.0924042,0.05,0.546651,7.15333,0.05,0.619728,0.843537,0.2781,0.05,0.676544,0.05,0.666518,0.328389,0.453981,0.248937,4.22567,0.787892,3.04726,0.394716,0.05,0.74005,0.05,0.787085,1.03918,0.05,0.996236,0.05,29.9667,1.46627,1.78033,0.737641,8.68426,20.2733,0.05,0.887693,1.62573,0.787742,0.05,0.05,0.798548,0.601536,0.05,2.74667,0.05,0.13108,0.0548258,0.318137,0.05,0.05,2.43,0.05,0.177969,0.331618,0.219151,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
